Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.505000	-0.846766	0.134145	0.980911	0.411432	-1.055210	0.643778
0.510000	-0.822224	0.125532	0.947756	0.402235	-1.021898	0.619662
0.515000	-0.795082	0.114667	0.909750	0.392837	-0.984285	0.591447
0.520000	-0.766195	0.102085	0.868279	0.383424	-0.943664	0.560240
0.525000	-0.735787	0.089477	0.825264	0.373147	-0.901273	0.528126
0.530000	-0.699575	0.075390	0.774965	0.360373	-0.851326	0.490953
0.535000	-0.647573	0.053080	0.700653	0.343230	-0.778399	0.435168
0.540000	-0.575294	0.019321	0.594614	0.320991	-0.675447	0.354455
0.545000	-0.485374	-0.022711	0.462663	0.293343	-0.547350	0.254007
0.550000	-0.382557	-0.069854	0.312703	0.261200	-0.401408	0.140209
0.555000	-0.271964	-0.123452	0.148512	0.228294	-0.242762	0.014468
0.560000	-0.158401	-0.186393	-0.027992	0.199067	-0.075292	-0.123775
0.565000	-0.045750	-0.261105	-0.215355	0.177163	0.097921	-0.275084
0.570000	0.063202	-0.349548	-0.412750	0.165322	0.274791	-0.440113
0.575000	0.167249	-0.449904	-0.617153	0.163191	0.452874	-0.616065
0.580000	0.266162	-0.556301	-0.822464	0.167512	0.628518	-0.796030
0.585000	0.359986	-0.662653	-1.022639	0.174745	0.798258	-0.973003
0.590000	0.448320	-0.763147	-1.211466	0.181765	0.958277	-1.140043
0.595000	0.528873	-0.851238	-1.380111	0.186117	1.102152	-1.288270
0.600000	0.598128	-0.921050	-1.519178	0.186439	1.222427	-1.408866
0.605000	0.652884	-0.967242	-1.620126	0.181494	1.312322	-1.493816
0.610000	0.691980	-0.984767	-1.676746	0.169041	1.367584	-1.536625
0.615000	0.715161	-0.972542	-1.687703	0.148599	1.387294	-1.535893
0.620000	0.720019	-0.935610	-1.655629	0.124472	1.371581	-1.496052
0.625000	0.701031	-0.881052	-1.582084	0.103935	1.318156	-1.422092
0.630000	0.652860	-0.815511	-1.468371	0.093907	1.224692	-1.318600
0.635000	0.574236	-0.743649	-1.317885	0.097811	1.092416	-1.190226
0.640000	0.469845	-0.667009	-1.136855	0.113833	0.927628	-1.041461
0.645000	0.349905	-0.585671	-0.935576	0.136119	0.742173	-0.878292
0.650000	0.225410	-0.500226	-0.725636	0.158665	0.549087	-0.707752
0.655000	0.103985	-0.410256	-0.514241	0.176825	0.356933	-0.533758
0.660000	-0.009438	-0.314837	-0.305398	0.187220	0.170873	-0.358093
0.665000	-0.111666	-0.216936	-0.105269	0.189718	-0.003693	-0.186025
0.670000	-0.200709	-0.124014	0.076695	0.187478	-0.160159	-0.027320
0.675000	-0.276619	-0.043939	0.232680	0.185074	-0.294044	0.108970
0.680000	-0.340270	0.018802	0.359071	0.185599	-0.403764	0.218165
0.685000	-0.392151	0.063113	0.455264	0.189971	-0.489255	0.299285
0.690000	-0.434322	0.092065	0.526387	0.197602	-0.554666	0.357063
0.695000	-0.469937	0.111261	0.581198	0.207081	-0.606873	0.399791
0.700000	-0.501023	0.124882	0.625904	0.217165	-0.650631	0.433466
0.705000	-0.528318	0.134722	0.663040	0.227243	-0.687831	0.460588
0.710000	-0.552690	0.142677	0.695367	0.236721	-0.720566	0.483844
0.715000	-0.574997	0.150463	0.725459	0.245105	-0.750818	0.505714
0.720000	-0.596488	0.158899	0.755387	0.252642	-0.780505	0.527863
0.725000	-0.618625	0.168495	0.787120	0.259882	-0.811607	0.551724
0.730000	-0.642585	0.179681	0.822266	0.267257	-0.845732	0.578474
0.735000	-0.668377	0.192628	0.861005	0.274673	-0.882988	0.608315
0.740000	-0.694978	0.207168	0.902146	0.281637	-0.922100	0.640463
0.745000	-0.721021	0.222279	0.943300	0.287949	-0.960896	0.672947
0.750000	-0.745011	0.236475	0.981485	0.293603	-0.996792	0.703189
0.755000	-0.765040	0.248503	1.013543	0.298223	-1.026865	0.728643
0.760000	-0.780271	0.257968	1.038239	0.301552	-1.049917	0.748365
0.765000	-0.791693	0.264532	1.056226	0.304356	-1.066896	0.762540
0.770000	-0.800867	0.267011	1.067878	0.308222	-1.078920	0.770699
0.775000	-0.809135	0.265509	1.074643	0.313862	-1.087599	0.773737
0.780000	-0.816796	0.261834	1.078630	0.320408	-1.094325	0.773917
0.785000	-0.822504	0.256811	1.079315	0.326603	-1.098016	0.771413
0.790000	-0.824652	0.250128	1.074780	0.331701	-1.096637	0.764936
0.795000	-0.823133	0.241570	1.064703	0.335765	-1.089942	0.754177
0.800000	-0.818689	0.231052	1.049741	0.339272	-1.078738	0.739465
0.805000	-0.811872	0.218932	1.030804	0.342334	-1.063869	0.721535
0.810000	-0.803176	0.206164	1.009340	0.344685	-1.046457	0.701771
0.815000	-0.792299	0.194160	0.986458	0.345335	-1.026965	0.681630
0.820000	-0.778324	0.184215	0.962539	0.343009	-1.005088	0.662079
