Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
1.005000	-0.245521	-0.121899	0.123622	0.212130	-0.213124	0.000994
1.010000	-0.281844	-0.104925	0.176920	0.223301	-0.264868	0.041566
1.015000	-0.315542	-0.087026	0.228516	0.232423	-0.314112	0.081689
1.020000	-0.346107	-0.070078	0.276029	0.240285	-0.359191	0.118906
1.025000	-0.372695	-0.056335	0.316359	0.247700	-0.397825	0.150125
1.030000	-0.395495	-0.047789	0.347706	0.255930	-0.429087	0.173157
1.035000	-0.416076	-0.044627	0.371448	0.265987	-0.454677	0.188690
1.040000	-0.435460	-0.045908	0.389552	0.277918	-0.476321	0.198403
1.045000	-0.453233	-0.050173	0.403060	0.290641	-0.494381	0.203739
1.050000	-0.468849	-0.055589	0.413260	0.302784	-0.509285	0.206501
1.055000	-0.482150	-0.061139	0.421012	0.313668	-0.521440	0.207773
1.060000	-0.493878	-0.067132	0.426746	0.323899	-0.531522	0.207623
1.065000	-0.504663	-0.073064	0.431599	0.333551	-0.540550	0.207000
1.070000	-0.514290	-0.078351	0.435939	0.342161	-0.548614	0.206453
1.075000	-0.522616	-0.083283	0.439333	0.349816	-0.555381	0.205565
1.080000	-0.529467	-0.087767	0.441700	0.356360	-0.560703	0.204343
1.085000	-0.534136	-0.091342	0.442794	0.361119	-0.564031	0.202911
1.090000	-0.535538	-0.095110	0.440428	0.364104	-0.563474	0.199370
1.095000	-0.533530	-0.099832	0.433698	0.365671	-0.558429	0.192758
1.100000	-0.529256	-0.103875	0.425382	0.365538	-0.551160	0.185622
1.105000	-0.524018	-0.105392	0.418626	0.363390	-0.544235	0.180845
1.110000	-0.517672	-0.104876	0.412796	0.359428	-0.537206	0.177778
1.115000	-0.509386	-0.102766	0.406620	0.353426	-0.528856	0.175430
1.120000	-0.499485	-0.099249	0.400236	0.345679	-0.519454	0.173775
1.125000	-0.488578	-0.095293	0.393285	0.337098	-0.509144	0.172046
1.130000	-0.476763	-0.090669	0.386093	0.327607	-0.498170	0.170563
1.135000	-0.463305	-0.083449	0.379857	0.315669	-0.486800	0.171131
1.140000	-0.447231	-0.072859	0.374372	0.300274	-0.474352	0.174078
1.145000	-0.428836	-0.059474	0.369363	0.281926	-0.460840	0.178914
1.150000	-0.409973	-0.043210	0.366763	0.261645	-0.448448	0.186804
1.155000	-0.392005	-0.024878	0.367127	0.240687	-0.438284	0.197597
1.160000	-0.374940	-0.006053	0.368888	0.219966	-0.429449	0.209483
1.165000	-0.358867	0.012843	0.371709	0.199777	-0.421798	0.222021
1.170000	-0.343749	0.031881	0.375630	0.180057	-0.415333	0.235277
1.175000	-0.329135	0.050069	0.379204	0.161118	-0.408960	0.247841
1.180000	-0.315068	0.066490	0.381558	0.143516	-0.402197	0.258680
1.185000	-0.302499	0.081551	0.384050	0.127564	-0.396379	0.268815
1.190000	-0.291779	0.095528	0.387307	0.113306	-0.392070	0.278765
1.195000	-0.282424	0.108242	0.390666	0.100564	-0.388609	0.288044
1.200000	-0.274420	0.120604	0.395023	0.088806	-0.386503	0.297697
1.205000	-0.266406	0.134383	0.400788	0.076224	-0.385204	0.308981
1.210000	-0.254453	0.150175	0.404628	0.060205	-0.380521	0.320316
1.215000	-0.235295	0.168077	0.403372	0.038808	-0.368734	0.329926
1.220000	-0.208990	0.187670	0.396660	0.012309	-0.349672	0.337363
1.225000	-0.176826	0.207953	0.384779	-0.017971	-0.324243	0.342214
1.230000	-0.139109	0.229195	0.368303	-0.052011	-0.292954	0.344966
1.235000	-0.095248	0.251516	0.346764	-0.090221	-0.255196	0.345417
1.240000	-0.042608	0.274578	0.317186	-0.133928	-0.207727	0.341655
1.245000	0.023183	0.298083	0.274900	-0.185483	-0.145329	0.330812
1.250000	0.104469	0.321402	0.216934	-0.245877	-0.064932	0.310808
1.255000	0.198867	0.342570	0.143703	-0.312598	0.031849	0.280749
1.260000	0.301829	0.358879	0.057049	-0.381460	0.141324	0.240136
1.265000	0.408115	0.368684	-0.039431	-0.448485	0.258391	0.190094
1.270000	0.508816	0.370398	-0.138418	-0.507614	0.373681	0.133933
1.275000	0.591883	0.361286	-0.230597	-0.550312	0.474859	0.075453
1.280000	0.647135	0.339886	-0.307249	-0.569857	0.551014	0.018843
1.285000	0.670075	0.309981	-0.360094	-0.565835	0.594768	-0.028933
