Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.535000	-0.463353	-0.156100	0.307253	0.357641	-0.444910	0.087268
0.540000	-0.454363	-0.154894	0.299469	0.351754	-0.435224	0.083470
0.545000	-0.440956	-0.152935	0.288022	0.342883	-0.420876	0.077993
0.550000	-0.424798	-0.150457	0.274341	0.332123	-0.403648	0.071525
0.555000	-0.407592	-0.147308	0.260284	0.320371	-0.385598	0.065227
0.560000	-0.390685	-0.143086	0.247599	0.308173	-0.368513	0.060341
0.565000	-0.375371	-0.138605	0.236766	0.296744	-0.353417	0.056673
0.570000	-0.362702	-0.135081	0.227621	0.287395	-0.340823	0.053428
0.575000	-0.353195	-0.132274	0.220921	0.280286	-0.331466	0.051180
0.580000	-0.346915	-0.130002	0.216914	0.275348	-0.325527	0.050179
0.585000	-0.343970	-0.129319	0.214651	0.273253	-0.322519	0.049266
0.590000	-0.344251	-0.130573	0.213678	0.274139	-0.322120	0.047981
0.595000	-0.347439	-0.132757	0.214682	0.277241	-0.324540	0.047299
0.600000	-0.352452	-0.134948	0.217504	0.281400	-0.329064	0.047664
0.605000	-0.357594	-0.136801	0.220792	0.285439	-0.333931	0.048492
0.610000	-0.361575	-0.137875	0.223700	0.288357	-0.337908	0.049551
0.615000	-0.364455	-0.138042	0.226413	0.290117	-0.341138	0.051021
0.620000	-0.367033	-0.137797	0.229236	0.291463	-0.344256	0.052792
0.625000	-0.369576	-0.137285	0.232290	0.292636	-0.347487	0.054851
0.630000	-0.371722	-0.136603	0.235120	0.293481	-0.350360	0.056879
0.635000	-0.373070	-0.136120	0.236950	0.293981	-0.352195	0.058214
0.640000	-0.373432	-0.135664	0.237768	0.293927	-0.352876	0.058950
0.645000	-0.372766	-0.134813	0.237953	0.293051	-0.352599	0.059548
0.650000	-0.371323	-0.133789	0.237535	0.291626	-0.351524	0.059898
0.655000	-0.369436	-0.132910	0.236526	0.290029	-0.349852	0.059823
0.660000	-0.367527	-0.132158	0.235369	0.288493	-0.348082	0.059589
0.665000	-0.366312	-0.131504	0.234808	0.287414	-0.347056	0.059642
0.670000	-0.366485	-0.130824	0.235660	0.287121	-0.347649	0.060527
0.675000	-0.367930	-0.129563	0.238368	0.287228	-0.350046	0.062819
0.680000	-0.369915	-0.128066	0.241849	0.287509	-0.353202	0.065692
0.685000	-0.371534	-0.127259	0.244274	0.287978	-0.355537	0.067559
0.690000	-0.372693	-0.127226	0.245467	0.288628	-0.356895	0.068266
0.695000	-0.374177	-0.127548	0.246629	0.289671	-0.358422	0.068751
0.700000	-0.376349	-0.128323	0.248026	0.291372	-0.360483	0.069110
0.705000	-0.379355	-0.129962	0.249393	0.294054	-0.363007	0.068953
0.710000	-0.383206	-0.132478	0.250727	0.297730	-0.366001	0.068271
0.715000	-0.387260	-0.135369	0.251891	0.301740	-0.369014	0.067274
0.720000	-0.390477	-0.137548	0.252929	0.304855	-0.371470	0.066615
0.725000	-0.391516	-0.138318	0.253199	0.305900	-0.372226	0.066327
0.730000	-0.389199	-0.137416	0.251782	0.304041	-0.370070	0.066029
0.735000	-0.382680	-0.135258	0.247421	0.299031	-0.363789	0.064757
0.740000	-0.371541	-0.132592	0.238949	0.291061	-0.352466	0.061406
0.745000	-0.356813	-0.129799	0.227014	0.280945	-0.337072	0.056127
0.750000	-0.340212	-0.126988	0.213224	0.269738	-0.319526	0.049788
0.755000	-0.323339	-0.123605	0.199734	0.258043	-0.301996	0.043953
0.760000	-0.307631	-0.119312	0.188319	0.246496	-0.286336	0.039841
0.765000	-0.294190	-0.115175	0.179016	0.236347	-0.273205	0.036859
0.770000	-0.283617	-0.111975	0.171641	0.228395	-0.262843	0.034448
0.775000	-0.276058	-0.109266	0.166791	0.222467	-0.255679	0.033212
0.780000	-0.271810	-0.107123	0.164686	0.218777	-0.252011	0.033234
0.785000	-0.270993	-0.106738	0.164255	0.218083	-0.251290	0.033207
0.790000	-0.273267	-0.108450	0.164817	0.220384	-0.252928	0.032544
0.795000	-0.277726	-0.110961	0.166765	0.224409	-0.256627	0.032218
0.800000	-0.282815	-0.113184	0.169631	0.228630	-0.261220	0.032590
0.805000	-0.285855	-0.113944	0.171911	0.230824	-0.264291	0.033467
0.810000	-0.279655	-0.108558	0.171097	0.224135	-0.260242	0.036107
