Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.960000	-0.237853	-0.135896	0.101957	0.215784	-0.196189	-0.019595
0.965000	-0.195409	-0.121344	0.074065	0.182877	-0.155580	-0.027297
0.970000	-0.149153	-0.106959	0.042194	0.147866	-0.110474	-0.037392
0.975000	-0.101763	-0.093168	0.008595	0.112543	-0.063715	-0.048829
0.980000	-0.057012	-0.080400	-0.023389	0.079335	-0.019412	-0.059923
0.985000	-0.018980	-0.069142	-0.050162	0.050877	0.018003	-0.068880
0.990000	0.010392	-0.059946	-0.070339	0.028610	0.046610	-0.075220
0.995000	0.031055	-0.053624	-0.084679	0.013031	0.066819	-0.079850
1.000000	0.043459	-0.049407	-0.092866	0.003434	0.078707	-0.082141
1.005000	0.048993	-0.046339	-0.095332	-0.001532	0.083327	-0.081794
1.010000	0.049395	-0.045070	-0.094465	-0.002497	0.083057	-0.080561
1.015000	0.046064	-0.045790	-0.091854	-0.000158	0.079627	-0.079469
1.020000	0.038506	-0.048399	-0.086905	0.005711	0.072406	-0.078118
1.025000	0.024103	-0.053403	-0.077506	0.016916	0.058664	-0.075581
1.030000	0.000547	-0.060967	-0.061514	0.034884	0.035831	-0.070714
1.035000	-0.032093	-0.070500	-0.038407	0.059232	0.003645	-0.062878
1.040000	-0.071244	-0.081095	-0.009850	0.087953	-0.035446	-0.052507
1.045000	-0.113033	-0.092469	0.020565	0.118647	-0.077133	-0.041514
1.050000	-0.153936	-0.104211	0.049725	0.149041	-0.117584	-0.031457
1.055000	-0.192421	-0.116087	0.076333	0.178117	-0.155165	-0.022952
1.060000	-0.228371	-0.128052	0.100320	0.205781	-0.189770	-0.016011
1.065000	-0.261426	-0.138871	0.122554	0.231111	-0.221691	-0.009421
1.070000	-0.291791	-0.147372	0.144419	0.253551	-0.251846	-0.001705
1.075000	-0.320924	-0.154385	0.166539	0.274419	-0.281436	0.007017
1.080000	-0.350491	-0.161504	0.188987	0.295600	-0.311468	0.015868
1.085000	-0.382291	-0.169322	0.212970	0.318474	-0.343674	0.025200
1.090000	-0.417727	-0.177890	0.239837	0.343880	-0.379645	0.035765
1.095000	-0.455937	-0.187158	0.268779	0.371291	-0.418414	0.047123
1.100000	-0.494115	-0.196244	0.297870	0.398579	-0.457253	0.058674
1.105000	-0.529056	-0.204044	0.325012	0.423255	-0.493096	0.069841
1.110000	-0.558044	-0.210373	0.347670	0.443646	-0.522914	0.079268
1.115000	-0.580169	-0.214867	0.365302	0.459014	-0.545867	0.086853
1.120000	-0.595650	-0.217254	0.378397	0.469330	-0.562366	0.093036
1.125000	-0.604414	-0.217998	0.386416	0.474820	-0.572056	0.097236
1.130000	-0.606410	-0.217837	0.388574	0.475879	-0.574454	0.098575
1.135000	-0.602047	-0.216621	0.385426	0.472658	-0.570118	0.097460
1.140000	-0.591123	-0.213228	0.377895	0.464392	-0.559463	0.095071
1.145000	-0.572656	-0.207513	0.365143	0.450430	-0.541438	0.091007
1.150000	-0.545787	-0.199804	0.345984	0.430467	-0.514864	0.084397
1.155000	-0.510786	-0.190069	0.320717	0.404639	-0.480068	0.075430
1.160000	-0.469353	-0.179312	0.290040	0.374507	-0.438435	0.063929
1.165000	-0.424106	-0.167722	0.256384	0.341691	-0.392881	0.051189
1.170000	-0.377856	-0.154993	0.222864	0.307640	-0.346826	0.039185
1.175000	-0.333013	-0.142169	0.190844	0.274346	-0.302449	0.028103
1.180000	-0.290593	-0.130160	0.160433	0.242922	-0.260400	0.017478
1.185000	-0.250190	-0.118731	0.131459	0.212996	-0.220345	0.007348
1.190000	-0.210536	-0.107584	0.102952	0.183666	-0.180992	-0.002674
1.195000	-0.170669	-0.096981	0.073688	0.154528	-0.141080	-0.013448
1.200000	-0.130926	-0.086847	0.044079	0.125731	-0.101040	-0.024692
1.205000	-0.091258	-0.076995	0.014264	0.097141	-0.060923	-0.036218
1.210000	-0.051388	-0.067967	-0.016579	0.068910	-0.020097	-0.048813
1.215000	-0.012737	-0.060242	-0.047505	0.042134	0.020074	-0.062208
1.220000	0.023008	-0.053674	-0.076682	0.017705	0.057556	-0.075261
1.225000	0.054476	-0.048532	-0.103009	-0.003432	0.090924	-0.087492
1.230000	0.080109	-0.044809	-0.124917	-0.020380	0.118372	-0.097991
1.235000	0.098292	-0.041995	-0.140288	-0.032503	0.137744	-0.105241
1.240000	0.107679	-0.040480	-0.148159	-0.038797	0.147708	-0.108911
1.245000	0.108771	-0.041034	-0.149805	-0.039108	0.149289	-0.110181
1.250000	0.103195	-0.042933	-0.146128	-0.034792	0.143947	-0.109154
1.255000	0.092463	-0.045001	-0.137464	-0.027403	0.132749	-0.105346
1.260000	0.078339	-0.047148	-0.125487	-0.018008	0.117679	-0.099671
1.265000	0.061538	-0.049930	-0.111467	-0.006702	0.099885	-0.093183
1.270000	0.040802	-0.053963	-0.094765	0.007599	0.078269	-0.085868
1.275000	0.015572	-0.059949	-0.075521	0.025621	0.052593	-0.078214
1.280000	-0.012761	-0.067970	-0.055210	0.046610	0.024508	-0.071118
1.285000	-0.042368	-0.076525	-0.034157	0.068643	-0.004741	-0.063902
1.290000	-0.071245	-0.083239	-0.011994	0.089191	-0.034208	-0.054983
1.295000	-0.097866	-0.087722	0.010144	0.107149	-0.062359	-0.044790
1.300000	-0.122316	-0.090914	0.031402	0.123108	-0.088749	-0.034360
1.305000	-0.145135	-0.093478	0.051657	0.137763	-0.113617	-0.024146
1.310000	-0.166056	-0.096099	0.069957	0.151355	-0.136262	-0.015093
1.315000	-0.185766	-0.098773	0.086994	0.164279	-0.157478	-0.006801
1.320000	-0.205348	-0.100822	0.104525	0.176767	-0.178905	0.002138
1.325000	-0.226151	-0.102866	0.123285	0.189958	-0.201747	0.011789
1.330000	-0.249378	-0.105321	0.144057	0.204785	-0.227150	0.022364
1.335000	-0.274098	-0.107418	0.166680	0.220269	-0.254483	0.034215
1.340000	-0.297672	-0.109066	0.188606	0.234830	-0.280752	0.045922
1.345000	-0.317830	-0.111455	0.206375	0.247848	-0.302649	0.054802
1.350000	-0.333283	-0.114569	0.218714	0.258567	-0.318696	0.060129
