Time,Healthy,Osteoarthritic
1990,-0.3556,-0.535
1995,-0.3556,-0.535
2000,-0.3564,-0.535
2005,-0.356,-0.535
2010,-0.3564,-0.536
2015,-0.3564,-0.536
2020,-0.3568,-0.537
2025,-0.3572,-0.537
2030,-0.3576,-0.538
2035,-0.3576,-0.538
2040,-0.3576,-0.539
2045,-0.3576,-0.539
2050,-0.3584,-0.539
2055,-0.3588,-0.54
2060,-0.3584,-0.54
2065,-0.3588,-0.54
2070,-0.3588,-0.541
2075,-0.3592,-0.541
2080,-0.3592,-0.54
2085,-0.3592,-0.541
2090,-0.3596,-0.542
2095,-0.3596,-0.542
2100,-0.36,-0.543
2105,-0.3604,-0.543
2110,-0.3608,-0.543
2115,-0.3608,-0.543
2120,-0.3612,-0.544
2125,-0.3612,-0.544
2130,-0.3612,-0.545
2135,-0.3616,-0.545
2140,-0.3616,-0.545
2145,-0.362,-0.545
2150,-0.362,-0.546
2155,-0.3624,-0.546
2160,-0.3624,-0.546
2165,-0.3628,-0.546
2170,-0.3628,-0.547
2175,-0.3632,-0.548
2180,-0.3632,-0.548
2185,-0.3636,-0.548
2190,-0.3632,-0.549
2195,-0.364,-0.549
2200,-0.3636,-0.549
2205,-0.3644,-0.549
2210,-0.364,-0.549
2215,-0.3644,-0.55
2220,-0.3648,-0.55
2225,-0.3648,-0.551
2230,-0.3648,-0.551
2235,-0.3652,-0.551
2240,-0.3652,-0.552
2245,-0.3652,-0.552
2250,-0.366,-0.552
2255,-0.366,-0.553
2260,-0.3664,-0.554
2265,-0.3664,-0.553
2270,-0.3664,-0.554
2275,-0.3664,-0.554
2280,-0.3668,-0.554
2285,-0.3672,-0.555
2290,-0.3668,-0.555
2295,-0.3676,-0.555
2300,-0.3672,-0.555
2305,-0.3676,-0.556
2310,-0.3676,-0.556
2315,-0.368,-0.556
2320,-0.3684,-0.557
2325,-0.3684,-0.557
2330,-0.3684,-0.558
2335,-0.3688,-0.558
2340,-0.3692,-0.558
2345,-0.3692,-0.559
2350,-0.3692,-0.559
2355,-0.3696,-0.559
2360,-0.3696,-0.56
2365,-0.37,-0.56
2370,-0.37,-0.56
2375,-0.37,-0.561
2380,-0.3704,-0.56
2385,-0.3704,-0.561
2390,-0.3704,-0.562
2395,-0.3708,-0.561
2400,-0.3708,-0.562
2405,-0.3708,-0.562
2410,-0.3712,-0.563
2415,-0.3716,-0.563
2420,-0.3716,-0.563
2425,-0.372,-0.563
2430,-0.372,-0.563
2435,-0.372,-0.565
2440,-0.3724,-0.565
2445,-0.3728,-0.564
2450,-0.3728,-0.565
2455,-0.3728,-0.566
2460,-0.3728,-0.566
2465,-0.3732,-0.567
2470,-0.3736,-0.567
2475,-0.3736,-0.567
2480,-0.374,-0.566
2485,-0.374,-0.568
2490,-0.374,-0.567
2495,-0.374,-0.567
2500,-0.3744,-0.568
2505,-0.3744,-0.568
2510,-0.3748,-0.568
2515,-0.3748,-0.568
2520,-0.3748,-0.569
2525,-0.3752,-0.57
2530,-0.3752,-0.57
2535,-0.3756,-0.57
2540,-0.3756,-0.57
2545,-0.376,-0.571
2550,-0.3756,-0.571
2555,-0.3756,-0.571
2560,-0.376,-0.572
2565,-0.3764,-0.571
2570,-0.3764,-0.573
2575,-0.3764,-0.572
2580,-0.3764,-0.572
2585,-0.3768,-0.573
2590,-0.3768,-0.573
2595,-0.3772,-0.573
2600,-0.3772,-0.573
2605,-0.3776,-0.574
2610,-0.3772,-0.575
2615,-0.3776,-0.574
2620,-0.3776,-0.574
2625,-0.378,-0.575
2630,-0.3784,-0.576
2635,-0.3784,-0.575
2640,-0.3788,-0.576
2645,-0.3784,-0.576
2650,-0.3788,-0.576
2655,-0.3792,-0.577
2660,-0.3792,-0.577
2665,-0.3792,-0.577
2670,-0.3792,-0.577
2675,-0.3792,-0.578
2680,-0.3796,-0.578
2685,-0.3796,-0.579
2690,-0.38,-0.579
2695,-0.38,-0.578
2700,-0.3804,-0.579
2705,-0.3804,-0.579
2710,-0.3804,-0.579
2715,-0.3804,-0.58
2720,-0.3808,-0.579
2725,-0.3808,-0.581
2730,-0.3812,-0.581
2735,-0.3812,-0.582
2740,-0.3812,-0.581
2745,-0.3812,-0.582
2750,-0.3816,-0.581
2755,-0.3812,-0.582
2760,-0.382,-0.582
2765,-0.3816,-0.583
2770,-0.382,-0.582
2775,-0.382,-0.583
2780,-0.3828,-0.583
2785,-0.3824,-0.583
2790,-0.3824,-0.584
2795,-0.3828,-0.584
2800,-0.3828,-0.584
2805,-0.3832,-0.585
2810,-0.3832,-0.586
2815,-0.3832,-0.585
2820,-0.3836,-0.585
2825,-0.3832,-0.586
2830,-0.3836,-0.585
2835,-0.384,-0.587
2840,-0.3836,-0.586
2845,-0.384,-0.587
2850,-0.384,-0.587
2855,-0.3844,-0.587
2860,-0.3844,-0.588
2865,-0.3848,-0.588
2870,-0.3848,-0.588
2875,-0.3848,-0.588
2880,-0.3852,-0.588
2885,-0.3848,-0.589
2890,-0.3852,-0.589
2895,-0.3856,-0.589
2900,-0.3856,-0.59
2905,-0.3856,-0.59
2910,-0.3856,-0.59
2915,-0.3856,-0.589
2920,-0.3864,-0.59
2925,-0.386,-0.591
2930,-0.386,-0.591
2935,-0.386,-0.592
2940,-0.386,-0.591
2945,-0.3868,-0.592
2950,-0.3868,-0.593
2955,-0.3868,-0.593
2960,-0.3872,-0.593
2965,-0.3872,-0.593
2970,-0.3872,-0.594
2975,-0.3876,-0.594
2980,-0.3872,-0.594
2985,-0.3876,-0.594
2990,-0.3876,-0.595
2995,-0.3876,-0.594
3000,-0.388,-0.594
3005,-0.3884,-0.595
3010,-0.3884,-0.595
3015,-0.388,-0.596
3020,-0.3884,-0.595
3025,-0.3888,-0.597
3030,-0.3884,-0.596
3035,-0.3888,-0.596
3040,-0.3888,-0.597
3045,-0.3888,-0.597
3050,-0.3888,-0.597
3055,-0.3892,-0.598
3060,-0.3896,-0.598
3065,-0.3896,-0.598
3070,-0.3896,-0.598
3075,-0.39,-0.598
3080,-0.39,-0.599
3085,-0.39,-0.599
3090,-0.3904,-0.599
3095,-0.39,-0.599
3100,-0.3904,-0.6
3105,-0.3904,-0.599
3110,-0.3908,-0.6
3115,-0.3904,-0.6
3120,-0.3908,-0.6
3125,-0.3912,-0.601
3130,-0.3912,-0.601
3135,-0.3912,-0.601
3140,-0.3912,-0.602
3145,-0.3916,-0.601
3150,-0.3916,-0.601
3155,-0.3916,-0.602
3160,-0.3916,-0.603
3165,-0.392,-0.603
3170,-0.392,-0.603
3175,-0.392,-0.603
3180,-0.3924,-0.604
3185,-0.3924,-0.604
3190,-0.3924,-0.605
3195,-0.3924,-0.605
3200,-0.3924,-0.605
3205,-0.3924,-0.605
3210,-0.3924,-0.605
3215,-0.3928,-0.605
3220,-0.3928,-0.605
3225,-0.3932,-0.606
3230,-0.3932,-0.605
3235,-0.3936,-0.605
3240,-0.3936,-0.606
3245,-0.3936,-0.607
3250,-0.394,-0.607
3255,-0.394,-0.607
3260,-0.3936,-0.608
3265,-0.394,-0.608
3270,-0.3944,-0.608
3275,-0.3944,-0.608
3280,-0.3944,-0.608
3285,-0.3944,-0.608
3290,-0.3944,-0.608
3295,-0.3944,-0.61
3300,-0.3948,-0.609
3305,-0.3948,-0.609
3310,-0.3952,-0.61
3315,-0.3952,-0.609
3320,-0.3952,-0.61
3325,-0.3952,-0.61
3330,-0.3952,-0.611
3335,-0.3956,-0.611
3340,-0.3956,-0.61
3345,-0.3956,-0.611
3350,-0.396,-0.611
3355,-0.396,-0.612
3360,-0.396,-0.611
3365,-0.396,-0.612
3370,-0.3964,-0.612
3375,-0.3964,-0.612
3380,-0.3964,-0.612
3385,-0.3964,-0.612
3390,-0.3964,-0.614
3395,-0.3964,-0.613
3400,-0.3968,-0.612
3405,-0.3968,-0.614
3410,-0.3968,-0.614
